"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CZE","CPI","FOOD","IDX2015","A","2018",105.55,
"CZE","CPI","FOOD","IDX2015","A","2019",108.525,
"CZE","CPI","FOOD","IDX2015","A","2020",113.45,
"CZE","CPI","FOOD","IDX2015","A","2021",114.3583,
"CZE","CPI","FOOD","IDX2015","A","2022",133.45,
"CZE","CPI","TOT","IDX2015","A","2018",105.3417,
"CZE","CPI","TOT","IDX2015","A","2019",108.3417,
"CZE","CPI","TOT","IDX2015","A","2020",111.7667,
"CZE","CPI","TOT","IDX2015","A","2021",116.0583,
"CZE","CPI","TOT","IDX2015","A","2022",133.5833,
"CZE","CPI","TOT_FOODENRG","IDX2015","A","2018",106.0917,
"CZE","CPI","TOT_FOODENRG","IDX2015","A","2019",108.7667,
"CZE","CPI","TOT_FOODENRG","IDX2015","A","2020",112.7167,
"CZE","CPI","TOT_FOODENRG","IDX2015","A","2021",118.3417,
"CZE","CPI","TOT_FOODENRG","IDX2015","A","2022",132.775,
"DNK","CPI","ENRG","IDX2015","A","2018",101.0116,
"DNK","CPI","ENRG","IDX2015","A","2019",100.7439,
"DNK","CPI","ENRG","IDX2015","A","2020",95.24953,
"DNK","CPI","ENRG","IDX2015","A","2021",106.2405,
"DNK","CPI","ENRG","IDX2015","A","2022",150.4637,
"DNK","CPI","FOOD","IDX2015","A","2018",102.9583,
"DNK","CPI","FOOD","IDX2015","A","2019",104.3917,
"DNK","CPI","FOOD","IDX2015","A","2020",105.0583,
"DNK","CPI","FOOD","IDX2015","A","2021",105.6667,
"DNK","CPI","FOOD","IDX2015","A","2022",117.8333,
"DNK","CPI","TOT","IDX2015","A","2018",102.225,
"DNK","CPI","TOT","IDX2015","A","2019",103,
"DNK","CPI","TOT","IDX2015","A","2020",103.4333,
"DNK","CPI","TOT","IDX2015","A","2021",105.35,
"DNK","CPI","TOT","IDX2015","A","2022",113.4583,
"DNK","CPI","TOT_FOODENRG","IDX2015","A","2018",102.3038,
"DNK","CPI","TOT_FOODENRG","IDX2015","A","2019",103.0899,
"DNK","CPI","TOT_FOODENRG","IDX2015","A","2020",104.0754,
"DNK","CPI","TOT_FOODENRG","IDX2015","A","2021",105.324,
"DNK","CPI","TOT_FOODENRG","IDX2015","A","2022",109.5642,
"FIN","CPI","ENRG","IDX2015","A","2018",106.355,
"FIN","CPI","ENRG","IDX2015","A","2019",109.5333,
"FIN","CPI","ENRG","IDX2015","A","2020",104.1717,
"FIN","CPI","ENRG","IDX2015","A","2021",114.1933,
"FIN","CPI","ENRG","IDX2015","A","2022",149.2533,
"FIN","CPI","FOOD","IDX2015","A","2018",99.8375,
"FIN","CPI","FOOD","IDX2015","A","2019",101.0475,
"FIN","CPI","FOOD","IDX2015","A","2020",102.725,
"FIN","CPI","FOOD","IDX2015","A","2021",103.31,
"FIN","CPI","FOOD","IDX2015","A","2022",114.165,
"FIN","CPI","TOT","IDX2015","A","2018",102.2042,
"FIN","CPI","TOT","IDX2015","A","2019",103.2508,
"FIN","CPI","TOT","IDX2015","A","2020",103.5508,
"FIN","CPI","TOT","IDX2015","A","2021",105.8233,
"FIN","CPI","TOT","IDX2015","A","2022",113.3617,
"FIN","CPI","TOT_FOODENRG","IDX2015","A","2018",102.3158,
"FIN","CPI","TOT_FOODENRG","IDX2015","A","2019",103.1642,
"FIN","CPI","TOT_FOODENRG","IDX2015","A","2020",103.6842,
"FIN","CPI","TOT_FOODENRG","IDX2015","A","2021",105.4733,
"FIN","CPI","TOT_FOODENRG","IDX2015","A","2022",109.8467,
"FRA","CPI","ENRG","IDX2015","A","2018",112.9957,
"FRA","CPI","ENRG","IDX2015","A","2019",115.0265,
"FRA","CPI","ENRG","IDX2015","A","2020",108.1737,
"FRA","CPI","ENRG","IDX2015","A","2021",119.4835,
"FRA","CPI","ENRG","IDX2015","A","2022",147.6483,
"FRA","CPI","FOOD","IDX2015","A","2018",103.6475,
"FRA","CPI","FOOD","IDX2015","A","2019",106.1858,
"FRA","CPI","FOOD","IDX2015","A","2020",108.3325,
"FRA","CPI","FOOD","IDX2015","A","2021",108.9983,
"FRA","CPI","FOOD","IDX2015","A","2022",116.9308,
"FRA","CPI","TOT","IDX2015","A","2018",103.09,
"FRA","CPI","TOT","IDX2015","A","2019",104.2325,
"FRA","CPI","TOT","IDX2015","A","2020",104.7292,
"FRA","CPI","TOT","IDX2015","A","2021",106.4492,
"FRA","CPI","TOT","IDX2015","A","2022",112.0083,
"FRA","CPI","TOT_FOODENRG","IDX2015","A","2018",102.0045,
"FRA","CPI","TOT_FOODENRG","IDX2015","A","2019",102.805,
"FRA","CPI","TOT_FOODENRG","IDX2015","A","2020",103.7149,
"FRA","CPI","TOT_FOODENRG","IDX2015","A","2021",104.7067,
"FRA","CPI","TOT_FOODENRG","IDX2015","A","2022",107.6168,
"DEU","CPI","ENRG","IDX2015","A","2018",101.648,
"DEU","CPI","ENRG","IDX2015","A","2019",103.0667,
"DEU","CPI","ENRG","IDX2015","A","2020",98.68953,
"DEU","CPI","ENRG","IDX2015","A","2021",109.3249,
"DEU","CPI","ENRG","IDX2015","A","2022",142.3082,
"DEU","CPI","FOOD","IDX2015","A","2018",105.9583,
"DEU","CPI","FOOD","IDX2015","A","2019",107.2333,
"DEU","CPI","FOOD","IDX2015","A","2020",109.5286,
"DEU","CPI","FOOD","IDX2015","A","2021",112.9148,
"DEU","CPI","FOOD","IDX2015","A","2022",127.0988,
"DEU","CPI","TOT","IDX2015","A","2018",103.7756,
"DEU","CPI","TOT","IDX2015","A","2019",105.2759,
"DEU","CPI","TOT","IDX2015","A","2020",105.4284,
"DEU","CPI","TOT","IDX2015","A","2021",108.6615,
"DEU","CPI","TOT","IDX2015","A","2022",116.1294,
"DEU","CPI","TOT_FOODENRG","IDX2015","A","2018",103.758,
"DEU","CPI","TOT_FOODENRG","IDX2015","A","2019",105.291,
"DEU","CPI","TOT_FOODENRG","IDX2015","A","2020",105.5935,
"DEU","CPI","TOT_FOODENRG","IDX2015","A","2021",108.0588,
"DEU","CPI","TOT_FOODENRG","IDX2015","A","2022",112.3031,
"GRC","CPI","ENRG","IDX2015","A","2018",105.0247,
"GRC","CPI","ENRG","IDX2015","A","2019",104.5201,
"GRC","CPI","ENRG","IDX2015","A","2020",95.89635,
"GRC","CPI","ENRG","IDX2015","A","2021",107.6996,
"GRC","CPI","ENRG","IDX2015","A","2022",149.0349,
"GRC","CPI","FOOD","IDX2015","A","2018",100.4953,
"GRC","CPI","FOOD","IDX2015","A","2019",100.3864,
"GRC","CPI","FOOD","IDX2015","A","2020",101.7431,
"GRC","CPI","FOOD","IDX2015","A","2021",103.1279,
"GRC","CPI","FOOD","IDX2015","A","2022",115.2826,
"GRC","CPI","TOT","IDX2015","A","2018",100.9138,
"GRC","CPI","TOT","IDX2015","A","2019",101.1691,
"GRC","CPI","TOT","IDX2015","A","2020",99.9065,
"GRC","CPI","TOT","IDX2015","A","2021",101.1292,
"GRC","CPI","TOT","IDX2015","A","2022",110.8834,
"GRC","CPI","TOT_FOODENRG","IDX2015","A","2018",100.2619,
"GRC","CPI","TOT_FOODENRG","IDX2015","A","2019",100.7967,
"GRC","CPI","TOT_FOODENRG","IDX2015","A","2020",100.1169,
"GRC","CPI","TOT_FOODENRG","IDX2015","A","2021",99.49173,
"GRC","CPI","TOT_FOODENRG","IDX2015","A","2022",102.8132,
"HUN","CPI","ENRG","IDX2015","A","2018",104.7856,
"HUN","CPI","ENRG","IDX2015","A","2019",105.4195,
"HUN","CPI","ENRG","IDX2015","A","2020",102.4549,
"HUN","CPI","ENRG","IDX2015","A","2021",113.9714,
"HUN","CPI","ENRG","IDX2015","A","2022",131.5289,
"HUN","CPI","FOOD","IDX2015","A","2018",107.0751,
"HUN","CPI","FOOD","IDX2015","A","2019",112.5457,
"HUN","CPI","FOOD","IDX2015","A","2020",120.7058,
"HUN","CPI","FOOD","IDX2015","A","2021",124.8687,
"HUN","CPI","FOOD","IDX2015","A","2022",159.5306,
"HUN","CPI","TOT","IDX2015","A","2018",105.681,
"HUN","CPI","TOT","IDX2015","A","2019",109.2092,
"HUN","CPI","TOT","IDX2015","A","2020",112.8423,
"HUN","CPI","TOT","IDX2015","A","2021",118.6097,
"HUN","CPI","TOT","IDX2015","A","2022",135.9363,
"HUN","CPI","TOT_FOODENRG","IDX2015","A","2018",105.4095,
"HUN","CPI","TOT_FOODENRG","IDX2015","A","2019",109.0095,
"HUN","CPI","TOT_FOODENRG","IDX2015","A","2020",112.6158,
"HUN","CPI","TOT_FOODENRG","IDX2015","A","2021",117.7373,
"HUN","CPI","TOT_FOODENRG","IDX2015","A","2022",129.7896,
"ISL","CPI","ENRG","IDX2015","A","2018",104.7167,
"ISL","CPI","ENRG","IDX2015","A","2019",107.602,
"ISL","CPI","ENRG","IDX2015","A","2020",105.4587,
"ISL","CPI","ENRG","IDX2015","A","2021",113.24,
"ISL","CPI","ENRG","IDX2015","A","2022",132.9727,
"ISL","CPI","FOOD","IDX2015","A","2018",101.3288,
"ISL","CPI","FOOD","IDX2015","A","2019",105.1786,
"ISL","CPI","FOOD","IDX2015","A","2020",110.3434,
"ISL","CPI","FOOD","IDX2015","A","2021",114.2191,
"ISL","CPI","FOOD","IDX2015","A","2022",122.4805,
"ISL","CPI","TOT","IDX2015","A","2018",106.2637,
"ISL","CPI","TOT","IDX2015","A","2019",109.4665,
"ISL","CPI","TOT","IDX2015","A","2020",112.584,
"ISL","CPI","TOT","IDX2015","A","2021",117.5875,
"ISL","CPI","TOT","IDX2015","A","2022",127.3575,
"ISL","CPI","TOT_FOODENRG","IDX2015","A","2018",107.285,
"ISL","CPI","TOT_FOODENRG","IDX2015","A","2019",110.4312,
"ISL","CPI","TOT_FOODENRG","IDX2015","A","2020",113.6195,
"ISL","CPI","TOT_FOODENRG","IDX2015","A","2021",118.5929,
"ISL","CPI","TOT_FOODENRG","IDX2015","A","2022",127.8364,
"IRL","CPI","ENRG","IDX2015","A","2018",104.4366,
"IRL","CPI","ENRG","IDX2015","A","2019",105.5698,
"IRL","CPI","ENRG","IDX2015","A","2020",100.2813,
"IRL","CPI","ENRG","IDX2015","A","2021",112.6025,
"IRL","CPI","ENRG","IDX2015","A","2022",159.0178,
"IRL","CPI","FOOD","IDX2015","A","2018",94.66149,
"IRL","CPI","FOOD","IDX2015","A","2019",94.03058,
"IRL","CPI","FOOD","IDX2015","A","2020",92.70403,
"IRL","CPI","FOOD","IDX2015","A","2021",92.46947,
"IRL","CPI","FOOD","IDX2015","A","2022",98.85141,
"IRL","CPI","TOT","IDX2015","A","2018",100.8389,
"IRL","CPI","TOT","IDX2015","A","2019",101.7859,
"IRL","CPI","TOT","IDX2015","A","2020",101.4453,
"IRL","CPI","TOT","IDX2015","A","2021",103.8375,
"IRL","CPI","TOT","IDX2015","A","2022",111.9445,
"IRL","CPI","TOT_FOODENRG","IDX2015","A","2018",101.4034,
"IRL","CPI","TOT_FOODENRG","IDX2015","A","2019",102.5543,
"IRL","CPI","TOT_FOODENRG","IDX2015","A","2020",102.7904,
"IRL","CPI","TOT_FOODENRG","IDX2015","A","2021",104.6443,
"IRL","CPI","TOT_FOODENRG","IDX2015","A","2022",109.5608,
"ITA","CPI","ENRG","IDX2015","A","2018",104.3319,
"ITA","CPI","ENRG","IDX2015","A","2019",104.8703,
"ITA","CPI","ENRG","IDX2015","A","2020",96.08986,
"ITA","CPI","ENRG","IDX2015","A","2021",109.6238,
"ITA","CPI","ENRG","IDX2015","A","2022",165.3653,
"ITA","CPI","FOOD","IDX2015","A","2018",103.3417,
"ITA","CPI","FOOD","IDX2015","A","2019",104.1333,
"ITA","CPI","FOOD","IDX2015","A","2020",105.5917,
"ITA","CPI","FOOD","IDX2015","A","2021",106.2,
"ITA","CPI","FOOD","IDX2015","A","2022",115.9083,
"ITA","CPI","TOT","IDX2015","A","2018",102.25,
"ITA","CPI","TOT","IDX2015","A","2019",102.875,
"ITA","CPI","TOT","IDX2015","A","2020",102.7333,
"ITA","CPI","TOT","IDX2015","A","2021",104.6583,
"ITA","CPI","TOT","IDX2015","A","2022",113.2417,
"ITA","CPI","TOT_FOODENRG","IDX2015","A","2018",101.8184,
"ITA","CPI","TOT_FOODENRG","IDX2015","A","2019",102.4014,
"ITA","CPI","TOT_FOODENRG","IDX2015","A","2020",102.9054,
"ITA","CPI","TOT_FOODENRG","IDX2015","A","2021",103.7252,
"ITA","CPI","TOT_FOODENRG","IDX2015","A","2022",106.7674,
"JPN","CPI","ENRG","IDX2015","A","2018",101.1538,
"JPN","CPI","ENRG","IDX2015","A","2019",102.5121,
"JPN","CPI","ENRG","IDX2015","A","2020",98.18346,
"JPN","CPI","ENRG","IDX2015","A","2021",102.0702,
"JPN","CPI","ENRG","IDX2015","A","2022",119.4747,
"JPN","CPI","FOOD","IDX2015","A","2018",104.3198,
"JPN","CPI","FOOD","IDX2015","A","2019",104.5579,
"JPN","CPI","FOOD","IDX2015","A","2020",105.8098,
"JPN","CPI","FOOD","IDX2015","A","2021",105.7569,
"JPN","CPI","FOOD","IDX2015","A","2022",110.9407,
"JPN","CPI","TOT","IDX2015","A","2018",101.3489,
"JPN","CPI","TOT","IDX2015","A","2019",101.824,
"JPN","CPI","TOT","IDX2015","A","2020",101.7986,
"JPN","CPI","TOT","IDX2015","A","2021",101.561,
"JPN","CPI","TOT","IDX2015","A","2022",104.0977,
"JPN","CPI","TOT_FOODENRG","IDX2015","A","2018",100.556,
"JPN","CPI","TOT_FOODENRG","IDX2015","A","2019",101.0025,
"JPN","CPI","TOT_FOODENRG","IDX2015","A","2020",101.112,
"JPN","CPI","TOT_FOODENRG","IDX2015","A","2021",100.3707,
"JPN","CPI","TOT_FOODENRG","IDX2015","A","2022",100.6908,
"KOR","CPI","ENRG","IDX2015","A","2018",95.90425,
"KOR","CPI","ENRG","IDX2015","A","2019",93.41344,
"KOR","CPI","ENRG","IDX2015","A","2020",88.90826,
"KOR","CPI","ENRG","IDX2015","A","2021",95.63857,
"KOR","CPI","ENRG","IDX2015","A","2022",113.8187,
"KOR","CPI","FOOD","IDX2015","A","2018",108.7184,
"KOR","CPI","FOOD","IDX2015","A","2019",108.7701,
"KOR","CPI","FOOD","IDX2015","A","2020",113.5834,
"KOR","CPI","FOOD","IDX2015","A","2021",120.2688,
"KOR","CPI","FOOD","IDX2015","A","2022",127.3838,
"KOR","CPI","TOT","IDX2015","A","2018",104.4541,
"KOR","CPI","TOT","IDX2015","A","2019",104.8541,
"KOR","CPI","TOT","IDX2015","A","2020",105.4175,
"KOR","CPI","TOT","IDX2015","A","2021",108.0512,
"KOR","CPI","TOT","IDX2015","A","2022",113.5487,
"KOR","CPI","TOT_FOODENRG","IDX2015","A","2018",104.6474,
"KOR","CPI","TOT_FOODENRG","IDX2015","A","2019",105.4182,
"KOR","CPI","TOT_FOODENRG","IDX2015","A","2020",105.7933,
"KOR","CPI","TOT_FOODENRG","IDX2015","A","2021",107.2453,
"KOR","CPI","TOT_FOODENRG","IDX2015","A","2022",111.1085,
"LUX","CPI","ENRG","IDX2015","A","2018",103.3758,
"LUX","CPI","ENRG","IDX2015","A","2019",105.045,
"LUX","CPI","ENRG","IDX2015","A","2020",96.82083,
"LUX","CPI","ENRG","IDX2015","A","2021",115.0467,
"LUX","CPI","ENRG","IDX2015","A","2022",150.4967,
"LUX","CPI","FOOD","IDX2015","A","2018",106.6983,
"LUX","CPI","FOOD","IDX2015","A","2019",108.1942,
"LUX","CPI","FOOD","IDX2015","A","2020",111.1442,
"LUX","CPI","FOOD","IDX2015","A","2021",112.14,
"LUX","CPI","FOOD","IDX2015","A","2022",120.0075,
"LUX","CPI","TOT","IDX2015","A","2018",103.5858,
"LUX","CPI","TOT","IDX2015","A","2019",105.3917,
"LUX","CPI","TOT","IDX2015","A","2020",106.2558,
"LUX","CPI","TOT","IDX2015","A","2021",108.9408,
"LUX","CPI","TOT","IDX2015","A","2022",115.8433,
"LUX","CPI","TOT_FOODENRG","IDX2015","A","2018",103.2358,
"LUX","CPI","TOT_FOODENRG","IDX2015","A","2019",105.0925,
"LUX","CPI","TOT_FOODENRG","IDX2015","A","2020",106.4483,
"LUX","CPI","TOT_FOODENRG","IDX2015","A","2021",108.1167,
"LUX","CPI","TOT_FOODENRG","IDX2015","A","2022",112.455,
"MEX","CPI","ENRG","IDX2015","A","2018",130.5799,
"MEX","CPI","ENRG","IDX2015","A","2019",133.7579,
"MEX","CPI","ENRG","IDX2015","A","2020",128.8965,
"MEX","CPI","ENRG","IDX2015","A","2021",146.5633,
"MEX","CPI","ENRG","IDX2015","A","2022",154.2652,
"MEX","CPI","FOOD","IDX2015","A","2018",117.1061,
"MEX","CPI","FOOD","IDX2015","A","2019",122.245,
"MEX","CPI","FOOD","IDX2015","A","2020",130.3394,
"MEX","CPI","FOOD","IDX2015","A","2021",139.7644,
"MEX","CPI","FOOD","IDX2015","A","2022",158.2999,
"MEX","CPI","TOT","IDX2015","A","2018",114.3756,
"MEX","CPI","TOT","IDX2015","A","2019",118.5342,
"MEX","CPI","TOT","IDX2015","A","2020",122.5606,
"MEX","CPI","TOT","IDX2015","A","2021",129.5334,
"MEX","CPI","TOT","IDX2015","A","2022",139.7617,
"MEX","CPI","TOT_FOODENRG","IDX2015","A","2018",111.3207,
"MEX","CPI","TOT_FOODENRG","IDX2015","A","2019",115.2503,
"MEX","CPI","TOT_FOODENRG","IDX2015","A","2020",118.9393,
"MEX","CPI","TOT_FOODENRG","IDX2015","A","2021",123.5243,
"MEX","CPI","TOT_FOODENRG","IDX2015","A","2022",130.9333,
"NLD","CPI","ENRG","IDX2015","A","2018",105.8667,
"NLD","CPI","ENRG","IDX2015","A","2019",114.0433,
"NLD","CPI","ENRG","IDX2015","A","2020",103.6983,
"NLD","CPI","ENRG","IDX2015","A","2021",121.5958,
"NLD","CPI","ENRG","IDX2015","A","2022",207.4067,
"NLD","CPI","FOOD","IDX2015","A","2018",104.4592,
"NLD","CPI","FOOD","IDX2015","A","2019",108.6892,
"NLD","CPI","FOOD","IDX2015","A","2020",110.7425,
"NLD","CPI","FOOD","IDX2015","A","2021",110.5133,
"NLD","CPI","FOOD","IDX2015","A","2022",122.3858,
"NLD","CPI","TOT","IDX2015","A","2018",103.435,
"NLD","CPI","TOT","IDX2015","A","2019",106.1592,
"NLD","CPI","TOT","IDX2015","A","2020",107.51,
"NLD","CPI","TOT","IDX2015","A","2021",110.3867,
"NLD","CPI","TOT","IDX2015","A","2022",121.4267,
"NLD","CPI","TOT_FOODENRG","IDX2015","A","2018",103.1209,
"NLD","CPI","TOT_FOODENRG","IDX2015","A","2019",105.1886,
"NLD","CPI","TOT_FOODENRG","IDX2015","A","2020",107.4245,
"NLD","CPI","TOT_FOODENRG","IDX2015","A","2021",109.4844,
"NLD","CPI","TOT_FOODENRG","IDX2015","A","2022",114.1367,
"NZL","CPI","ENRG","IDX2015","A","2018",109.5412,
"NZL","CPI","ENRG","IDX2015","A","2019",110.6056,
"NZL","CPI","ENRG","IDX2015","A","2020",105.9722,
"NZL","CPI","ENRG","IDX2015","A","2021",115.0299,
"NZL","CPI","ENRG","IDX2015","A","2022",130.4869,
"NZL","CPI","FOOD","IDX2015","A","2018",101.3135,
"NZL","CPI","FOOD","IDX2015","A","2019",102.4075,
"NZL","CPI","FOOD","IDX2015","A","2020",105.6642,
"NZL","CPI","FOOD","IDX2015","A","2021",107.5216,
"NZL","CPI","FOOD","IDX2015","A","2022",116.8336,
"NZL","CPI","TOT","IDX2015","A","2018",104.1474,
"NZL","CPI","TOT","IDX2015","A","2019",105.8342,
"NZL","CPI","TOT","IDX2015","A","2020",107.6488,
"NZL","CPI","TOT","IDX2015","A","2021",111.8913,
"NZL","CPI","TOT","IDX2015","A","2022",119.9165,
"NZL","CPI","TOT_FOODENRG","IDX2015","A","2018",103.9679,
"NZL","CPI","TOT_FOODENRG","IDX2015","A","2019",105.8395,
"NZL","CPI","TOT_FOODENRG","IDX2015","A","2020",108.193,
"NZL","CPI","TOT_FOODENRG","IDX2015","A","2021",112.2088,
"NZL","CPI","TOT_FOODENRG","IDX2015","A","2022",118.9335,
"NOR","CPI","ENRG","IDX2015","A","2018",137.4964,
"NOR","CPI","ENRG","IDX2015","A","2019",139.268,
"NOR","CPI","ENRG","IDX2015","A","2020",111.0384,
"NOR","CPI","ENRG","IDX2015","A","2021",160.4716,
"NOR","CPI","ENRG","IDX2015","A","2022",202.802,
"NOR","CPI","FOOD","IDX2015","A","2018",105.1583,
"NOR","CPI","FOOD","IDX2015","A","2019",106.275,
"NOR","CPI","FOOD","IDX2015","A","2020",109.7417,
"NOR","CPI","FOOD","IDX2015","A","2021",107.5167,
"NOR","CPI","FOOD","IDX2015","A","2022",114.5,
"NOR","CPI","TOT","IDX2015","A","2018",108.4083,
"NOR","CPI","TOT","IDX2015","A","2019",110.7583,
"NOR","CPI","TOT","IDX2015","A","2020",112.1833,
"NOR","CPI","TOT","IDX2015","A","2021",116.0917,
"NOR","CPI","TOT","IDX2015","A","2022",122.7833,
"NOR","CPI","TOT_FOODENRG","IDX2015","A","2018",106.8586,
"NOR","CPI","TOT_FOODENRG","IDX2015","A","2019",109.3599,
"NOR","CPI","TOT_FOODENRG","IDX2015","A","2020",112.2744,
"NOR","CPI","TOT_FOODENRG","IDX2015","A","2021",114.1379,
"NOR","CPI","TOT_FOODENRG","IDX2015","A","2022",118.2616,
"POL","CPI","ENRG","IDX2015","A","2018",103.0625,
"POL","CPI","ENRG","IDX2015","A","2019",102.7369,
"POL","CPI","ENRG","IDX2015","A","2020",102.0256,
"POL","CPI","ENRG","IDX2015","A","2021",114.3417,
"POL","CPI","ENRG","IDX2015","A","2022",147.7273,
"POL","CPI","FOOD","IDX2015","A","2018",108.0034,
"POL","CPI","FOOD","IDX2015","A","2019",113.1884,
"POL","CPI","FOOD","IDX2015","A","2020",118.38,
"POL","CPI","FOOD","IDX2015","A","2021",121.9915,
"POL","CPI","FOOD","IDX2015","A","2022",140.8294,
"POL","CPI","TOT","IDX2015","A","2018",103.2357,
"POL","CPI","TOT","IDX2015","A","2019",105.5352,
"POL","CPI","TOT","IDX2015","A","2020",109.0965,
